transaction_id,user_id,timestamp,type,amount,balance,category,merchant_id,merchant_name,location,provider
TXN_user_0_0000,user_0,2025-05-14 13:41:31,incoming,114290.07,370952.07,Business Income,MERCH_0609,Business Income,Fort Portal,MTN Mobile Money
TXN_user_0_0001,user_0,2025-05-17 17:27:43,incoming,75385.21,446337.28,Salary,MERCH_0235,Salary,Fort Portal,MTN Mobile Money
TXN_user_0_0002,user_0,2025-05-21 13:37:53,outgoing,260248.32,186088.96,Street Food,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0003,user_0,2025-05-21 13:41:15,incoming,496495.2,682584.16,Salary,MERCH_0235,Salary,Fort Portal,MTN Mobile Money
TXN_user_0_0004,user_0,2025-05-24 10:52:40,incoming,325243.92,1007828.09,Freelance Work,MERCH_0050,Freelance Work,Fort Portal,MTN Mobile Money
TXN_user_0_0005,user_0,2025-05-24 11:23:18,outgoing,13145.69,994682.4,Transport to School,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0006,user_0,2025-05-26 16:57:14,incoming,229937.44,1224619.83,Freelance Work,MERCH_0050,Freelance Work,Fort Portal,MTN Mobile Money
TXN_user_0_0007,user_0,2025-05-26 20:23:42,incoming,488189.98,1712809.82,Salary,MERCH_0235,Salary,Fort Portal,MTN Mobile Money
TXN_user_0_0008,user_0,2025-05-27 15:28:22,outgoing,31376.69,1681433.13,Internet,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0009,user_0,2025-05-30 12:50:01,outgoing,110152.27,1571280.86,NWSC,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0010,user_0,2025-06-11 19:11:07,outgoing,132906.17,1438374.7,Clinic,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0011,user_0,2025-06-17 16:42:53,incoming,356138.39,1794513.09,Salary,MERCH_0235,Salary,Fort Portal,MTN Mobile Money
TXN_user_0_0012,user_0,2025-06-19 11:49:28,outgoing,22838.55,1771674.54,Pharmacy,MERCH_0862,Vine Pharmacy,Fort Portal,MTN Mobile Money
TXN_user_0_0013,user_0,2025-06-28 01:04:54,outgoing,158959.59,1612714.95,Street Food,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0014,user_0,2025-06-29 12:07:56,incoming,57184.81,1669899.76,Remittances,MERCH_0074,Remittances,Fort Portal,MTN Mobile Money
TXN_user_0_0015,user_0,2025-06-30 07:02:02,outgoing,71976.72,1597923.04,Hospital,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0016,user_0,2025-07-03 17:48:41,outgoing,171566.8,1426356.23,Matatu,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0017,user_0,2025-07-09 02:45:30,outgoing,70877.24,1355478.99,Local Market,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0018,user_0,2025-07-10 14:28:22,outgoing,56108.71,1299370.28,Cinema,MERCH_0112,,Fort Portal,MTN Mobile Money
TXN_user_0_0019,user_0,2025-07-14 19:50:49,outgoing,121675.89,1177694.38,Hospital,MERCH_0112,,Fort Portal,MTN Mobile Money
